algorithm,num_clients,throughput,latency
EIGER,2,6424,2726
EIGER,4,7861,4277
EIGER,8,9350,6542
EIGER,16,9490,9466
EIGER,32,7170,17173
EIGER,64,10180,27382
EIGER,128,11299,53926
EIGER,256,13167,94868
EIGER,512,12236,178954
EIGER_PORT,2,10457,1898
EIGER_PORT,4,12721,3230
EIGER_PORT,8,14672,4981
EIGER_PORT,16,14203,6664
EIGER_PORT,32,15159,11770
EIGER_PORT,64,14401,20071
EIGER_PORT,128,15585,37015
EIGER_PORT,256,17929,72625
EIGER_PORT,512,23490,122762
EIGER_PORT_PLUS,2,10263,2008
EIGER_PORT_PLUS,4,12569,3342
EIGER_PORT_PLUS,8,14312,5022
EIGER_PORT_PLUS,16,15562,7776
EIGER_PORT_PLUS,32,17951,12090
EIGER_PORT_PLUS,64,17786,19286
EIGER_PORT_PLUS,128,19727,38051
EIGER_PORT_PLUS,256,20303,72728
EIGER_PORT_PLUS,512,25708,129745